Id,Date,Time,Temperature,Stabilized,Total[ppm],Total[cpm],K[%],K[cpm],U[ppm],U[cpm],Th[ppm],Th[cpm],Dose,Dose units,Latitude,Longitude,Altitude,Section,Height
8053,1/27/19,10:00:50,22.3,1,241.5,1994.5,2.8,170.9,2.5,26.5,12.2,21.9,9.4, uR/h,0,0,0,1,5
8054,1/27/19,10:00:50,22.8,1,232.8,1922.4,2.6,163.6,2.4,28.6,14,25,9.7, uR/h,0,0,0,1,5.25
8055,1/27/19,10:00:50,22.9,1,195.3,1612.7,2.7,152,0,13.9,13.2,23,8.1, uR/h,0,0,0,1,5.5
8056,1/27/19,10:00:50,22.9,1,218.8,1807.2,2.4,154.1,2.5,27.5,12.8,23,9.1, uR/h,0,0,0,1,5.75
8057,1/27/19,10:00:50,23.1,1,260.7,2153.6,3.3,190.8,2.4,23.3,10.3,18.8,9.5, uR/h,0,0,0,1,6
8058,1/27/19,10:00:50,23.2,1,156.1,1289.5,1.5,101.8,3.8,22.3,3.6,7.3,5.7, uR/h,0,0,0,1,6.25
8059,1/27/19,10:00:50,23.2,1,278.5,2300.4,3.1,197.1,5.1,36.9,10.5,19.8,11, uR/h,0,0,0,1,6.5
8060,1/27/19,10:00:50,23.3,1,183.7,1517.5,1.6,107.1,2.5,23.3,9.2,16.7,6.8, uR/h,0,0,0,1,6.75
8061,1/27/19,10:00:50,23.3,1,175.9,1452.6,1.4,99.8,2.5,23.3,9.3,16.7,6.6, uR/h,0,0,0,1,7
8062,1/27/19,10:00:50,23.3,1,184.6,1524.7,2,125.9,0.4,20.2,15,26.1,7.9, uR/h,0,0,0,1,7.25
8063,1/27/19,10:00:50,23.7,1,88.2,728.4,0.8,50.7,0.2,7.6,5.4,9.4,3, uR/h,0,0,0,1,7.5
8064,1/27/19,10:00:50,23.9,1,167.4,1382.6,1.6,92.5,1.7,11.8,3.2,6.2,4.4, uR/h,0,0,0,1,7.75
8065,1/27/19,10:00:50,24,1,180.7,1492.4,2.2,133.2,2.2,19.1,7.4,13.5,6.9, uR/h,0,0,0,1,8
8066,1/27/19,10:00:50,23.9,1,193.4,1597,2.1,140.5,4.3,29.6,7.7,14.6,8.2, uR/h,0,0,0,1,8.25
8067,1/27/19,10:00:50,23.7,1,175.9,1452.7,2.1,130.1,2.5,22.3,8.6,15.6,7.3, uR/h,0,0,0,1,8.5
8068,1/27/19,10:00:50,23.7,1,235.5,1945.3,2.8,165.6,2.3,23.3,10.3,18.8,8.7, uR/h,0,0,0,1,8.75
8069,1/27/19,10:00:50,23.7,1,213.9,1766.5,2.7,167.7,3.6,28.5,9.6,17.7,9.2, uR/h,0,0,0,1,9
8070,1/27/19,10:00:50,23.7,1,230.6,1904.4,2.4,162.5,5.1,34.8,8.8,16.7,9.5, uR/h,0,0,0,1,9.25
8071,1/27/19,10:00:50,23.6,1,244,2015.3,2.5,167.7,5.5,35.9,8.1,15.6,9.7, uR/h,0,0,0,1,9.5
8072,1/27/19,10:00:50,23.6,1,263.2,2174.3,3.4,192.8,1.3,19.1,11,19.8,9.2, uR/h,0,0,0,1,9.75
8073,1/27/19,10:00:50,23.6,1,235.6,1946.3,2.9,176.1,2.5,26.5,12.1,21.9,9.6, uR/h,0,0,0,1,10
8074,1/27/19,10:00:50,23.5,1,239.3,1976.6,3.1,175,1,15,8.6,15.6,8, uR/h,0,0,0,1,10.25
8075,1/27/19,10:00:50,23.3,1,235.5,1945.1,2.7,159.4,2.2,21.2,9.1,16.7,8.2, uR/h,0,0,0,1,10.5
8076,1/27/19,10:00:50,23.3,1,234.9,1939.9,3,175,2.8,22.3,7.8,14.6,8.5, uR/h,0,0,0,1,10.75
8077,1/27/19,10:00:50,23.2,1,238.4,1969.4,2.8,171.9,2.6,25.4,10.9,19.8,9.2, uR/h,0,0,0,1,11
8078,1/27/19,10:00:50,23.1,1,235.5,1945.3,2.9,179.2,4.3,30.6,8.8,16.7,9.6, uR/h,0,0,0,1,11.25
8079,1/27/19,10:00:50,23.1,1,231.1,1908.7,2.4,144.7,1.8,21.2,10.5,18.8,7.9, uR/h,0,0,0,1,11.5
8080,1/27/19,10:00:50,23.1,1,250.4,2067.9,2.4,163.6,5.5,35.9,8.1,15.6,9.5, uR/h,0,0,0,1,11.75
8081,1/27/19,10:00:50,23.2,1,219.9,1816.6,2.5,145.8,1.8,18.1,8,14.6,7.3, uR/h,0,0,0,1,12
8082,1/27/19,10:00:50,23.3,1,170.1,1404.6,1.8,111.3,2.5,19.1,6.2,11.5,6.1, uR/h,0,0,0,1,12.25
8083,1/27/19,10:00:50,23.3,1,132.1,1091.4,1.5,96.6,2.4,18.1,5.6,10.4,5.4, uR/h,0,0,0,1,12.5
8084,1/27/19,10:00:50,23.3,1,183.5,1515.3,1.7,111.3,2.4,21.2,8,14.6,6.5, uR/h,0,0,0,1,12.75
8085,1/27/19,10:00:50,23.3,1,188.7,1558.3,1.8,115.5,2.4,21.2,8,14.6,6.7, uR/h,0,0,0,1,13
8086,1/27/19,10:00:50,23.5,1,164.6,1359.5,1.6,111.3,4.2,26.4,5.3,10.4,6.6, uR/h,0,0,0,1,13.25
8087,1/27/19,10:00:50,23.5,1,192,1585.4,2.2,138.4,3.2,25.4,8.5,15.6,7.8, uR/h,0,0,0,1,13.5
8088,1/27/19,10:00:50,23.3,1,205,1693.1,2.6,154.1,1.5,18.1,9.2,16.7,7.7, uR/h,0,0,0,1,13.75
8089,1/27/19,10:00:50,23.3,1,241.2,1992.4,2.7,168.8,3.3,28.6,10.8,19.8,9.4, uR/h,0,0,0,1,14
8090,1/27/19,10:00:50,23.3,1,216.7,1789.5,2.5,154.1,2.1,23.3,11,19.8,8.5, uR/h,0,0,0,1,14.25
8091,1/27/19,10:00:50,23.3,1,224.9,1857.5,2.8,164.6,0.7,21.2,14.8,26.1,9.1, uR/h,0,0,0,1,14.5
8092,1/27/19,10:00:50,23.3,1,212.7,1757,2.3,146.8,2.8,26.5,11,19.8,8.5, uR/h,0,0,0,1,14.75
8093,1/27/19,10:00:50,23.3,1,207.4,1713.1,2.4,148.8,0.9,22.3,14.9,26.1,8.7, uR/h,0,0,0,1,15
8094,1/27/19,10:00:50,23.3,1,202,1668.1,2.3,140.5,0.8,20.2,13.7,24,8.1, uR/h,0,0,0,1,15.25
8095,1/27/19,10:00:50,23.3,1,150.3,1241.4,1.5,96.6,1.1,16,8.8,15.6,5.7, uR/h,0,0,0,1,15.5
8096,1/27/19,10:00:50,23.6,1,204,1684.7,2.2,146.8,4,30.6,9.6,17.7,8.7, uR/h,0,0,0,1,15.75
8097,1/27/19,10:00:50,23.9,1,134,1106.5,1.2,75.7,0.8,11.8,6.4,11.5,4.3, uR/h,0,0,0,1,16
8098,1/27/19,10:00:50,24,1,121.2,1001.1,1.1,71.5,0.9,12.9,7.1,12.5,4.4, uR/h,0,0,0,1,16.25
